Subject,File,Total Distance
01,ui-log_土_7-12-2024_15-14-32.txt,training,26886.18
01,ui-log_土_7-12-2024_15-20-28.txt,task_01,43564.15
01,ui-log_土_7-12-2024_15-28-23.txt,task_02,24837.07
01,ui-log_土_7-12-2024_15-30-37.txt,task_03,24157.22
01,ui-log_土_7-12-2024_15-32-51.txt,task_04,23450.39
01,ui-log_土_7-12-2024_15-34-32.txt,task_05,23395.22
01,ui-log_土_7-12-2024_15-40-05.txt,task_06,26257.09
01,ui-log_土_7-12-2024_15-41-37.txt,task_07,22277.16
01,ui-log_土_7-12-2024_15-43-08.txt,task_08,27030.27
01,ui-log_土_7-12-2024_15-44-45.txt,task_09,24978.57
01,ui-log_土_7-12-2024_15-46-20.txt,task_10,22594.31
01,ui-log_土_7-12-2024_15-52-22.txt,task_11,26826.07
01,ui-log_土_7-12-2024_15-53-40.txt,task_12,25073.26
01,ui-log_土_7-12-2024_15-55-19.txt,task_13,21965.05
01,ui-log_土_7-12-2024_15-56-25.txt,task_14,25812.79
01,ui-log_土_7-12-2024_15-57-44.txt,task_15,24541.58
02,ui-log_火_10-12-2024_19-03-36.txt,training,27357.56
02,ui-log_火_10-12-2024_19-08-24.txt,task_01,33093.07
02,ui-log_火_10-12-2024_19-18-32.txt,task_02,23739.35
02,ui-log_火_10-12-2024_19-21-16.txt,task_03,18737.33
02,ui-log_火_10-12-2024_19-22-49.txt,task_04,19595.34
02,ui-log_火_10-12-2024_19-24-10.txt,task_05,21084.66
02,ui-log_火_10-12-2024_19-35-19.txt,task_06,17278.16
02,ui-log_火_10-12-2024_19-36-20.txt,task_07,21321.78
02,ui-log_火_10-12-2024_19-37-36.txt,task_08,16907.40
02,ui-log_火_10-12-2024_19-38-44.txt,task_09,17296.83
02,ui-log_火_10-12-2024_19-40-20.txt,task_10,20897.52
02,ui-log_火_10-12-2024_19-44-43.txt,task_11,19404.60
02,ui-log_火_10-12-2024_19-46-22.txt,task_12,16858.61
02,ui-log_火_10-12-2024_19-47-23.txt,task_13,14531.94
02,ui-log_火_10-12-2024_19-48-34.txt,task_14,14033.35
02,ui-log_火_10-12-2024_19-49-37.txt,task_15,15398.52
03,ui-log_水_11-12-2024_10-02-09.txt,training,25458.42
03,ui-log_水_11-12-2024_10-06-24.txt,task_01,28508.71
03,ui-log_水_11-12-2024_10-10-25.txt,task_02,19754.42
03,ui-log_水_11-12-2024_10-12-10.txt,task_03,18510.05
03,ui-log_水_11-12-2024_10-13-30.txt,task_04,17809.95
03,ui-log_水_11-12-2024_10-14-53.txt,task_05,19883.36
03,ui-log_水_11-12-2024_10-17-41.txt,task_06,18478.67
03,ui-log_水_11-12-2024_10-19-14.txt,task_07,20091.73
03,ui-log_水_11-12-2024_10-20-26.txt,task_08,16114.53
03,ui-log_水_11-12-2024_10-21-35.txt,task_09,16654.48
03,ui-log_水_11-12-2024_10-22-45.txt,task_10,18702.53
03,ui-log_水_11-12-2024_10-25-28.txt,task_11,20169.53
03,ui-log_水_11-12-2024_10-26-30.txt,task_12,17188.69
03,ui-log_水_11-12-2024_10-27-41.txt,task_13,15749.13
03,ui-log_水_11-12-2024_10-28-43.txt,task_14,15781.51
03,ui-log_水_11-12-2024_10-29-42.txt,task_15,17139.69
