Subject,File,Task,Total Distance,Average Speed,Total Time,Average Acceleration,Average Absolute Acceleration
01,ui-log_土_7-12-2024_15-14-32.txt,training,26886.18,0.20,132329,0.00,0.25
01,ui-log_土_7-12-2024_15-20-28.txt,task_01,43564.15,0.13,345487,-0.00,0.18
01,ui-log_土_7-12-2024_15-28-23.txt,task_02,24837.07,0.24,105194,0.00,0.22
01,ui-log_土_7-12-2024_15-30-37.txt,task_03,24157.22,0.24,102383,0.00,0.21
01,ui-log_土_7-12-2024_15-32-51.txt,task_04,23450.39,0.30,78937,0.00,0.24
01,ui-log_土_7-12-2024_15-34-32.txt,task_05,23395.22,0.29,81720,-0.02,0.27
01,ui-log_土_7-12-2024_15-40-05.txt,task_06,26257.09,0.38,68740,0.00,0.28
01,ui-log_土_7-12-2024_15-41-37.txt,task_07,22277.16,0.29,76214,0.00,0.25
01,ui-log_土_7-12-2024_15-43-08.txt,task_08,27030.27,0.33,83011,0.00,0.31
01,ui-log_土_7-12-2024_15-44-45.txt,task_09,24978.57,0.31,80903,0.00,0.24
01,ui-log_土_7-12-2024_15-46-20.txt,task_10,22594.31,0.37,60461,0.00,0.23
01,ui-log_土_7-12-2024_15-52-22.txt,task_11,26826.07,0.41,66032,-0.00,0.29
01,ui-log_土_7-12-2024_15-53-40.txt,task_12,25073.26,0.34,74562,0.00,0.25
01,ui-log_土_7-12-2024_15-55-19.txt,task_13,21965.05,0.40,55028,0.00,0.25
01,ui-log_土_7-12-2024_15-56-25.txt,task_14,25812.79,0.39,66407,-0.00,0.27
01,ui-log_土_7-12-2024_15-57-44.txt,task_15,24541.58,0.40,61819,-0.00,0.29
02,ui-log_火_10-12-2024_19-03-36.txt,training,27357.56,0.27,103508,-0.00,0.13
02,ui-log_火_10-12-2024_19-08-24.txt,task_01,33093.07,0.10,335109,-0.01,0.13
02,ui-log_火_10-12-2024_19-18-32.txt,task_02,23739.35,0.19,123477,-0.00,0.17
02,ui-log_火_10-12-2024_19-21-16.txt,task_03,18737.33,0.24,77200,0.00,0.16
02,ui-log_火_10-12-2024_19-22-49.txt,task_04,19595.34,0.29,66721,-0.04,0.34
02,ui-log_火_10-12-2024_19-24-10.txt,task_05,21084.66,0.31,67690,-0.00,0.21
02,ui-log_火_10-12-2024_19-35-19.txt,task_06,17278.16,0.30,58092,0.00,0.16
02,ui-log_火_10-12-2024_19-36-20.txt,task_07,21321.78,0.32,68642,0.00,0.30
02,ui-log_火_10-12-2024_19-37-36.txt,task_08,16907.40,0.33,52356,-0.01,0.21
02,ui-log_火_10-12-2024_19-38-44.txt,task_09,17296.83,0.32,57730,-0.00,0.24
02,ui-log_火_10-12-2024_19-40-20.txt,task_10,20897.52,0.29,72913,-0.00,0.21
02,ui-log_火_10-12-2024_19-44-43.txt,task_11,19404.60,0.30,81066,-0.00,0.43
02,ui-log_火_10-12-2024_19-46-22.txt,task_12,16858.61,0.36,48626,0.00,0.38
02,ui-log_火_10-12-2024_19-47-23.txt,task_13,14531.94,0.30,51837,-0.00,0.26
02,ui-log_火_10-12-2024_19-48-34.txt,task_14,14033.35,0.30,49152,-0.00,0.20
02,ui-log_火_10-12-2024_19-49-37.txt,task_15,15398.52,0.29,56134,0.00,0.02
03,ui-log_水_11-12-2024_10-02-09.txt,training,25458.42,0.35,72032,0.00,0.69
03,ui-log_水_11-12-2024_10-06-24.txt,task_01,28508.71,0.14,204520,-0.00,0.17
03,ui-log_水_11-12-2024_10-10-25.txt,task_02,19754.42,0.24,83490,-0.00,0.21
03,ui-log_水_11-12-2024_10-12-10.txt,task_03,18510.05,0.28,66252,0.00,0.24
03,ui-log_水_11-12-2024_10-13-30.txt,task_04,17809.95,0.26,68383,0.00,0.21
03,ui-log_水_11-12-2024_10-14-53.txt,task_05,19883.36,0.28,71998,-0.00,0.21
03,ui-log_水_11-12-2024_10-17-41.txt,task_06,18478.67,0.30,63138,0.00,0.26
03,ui-log_水_11-12-2024_10-19-14.txt,task_07,20091.73,0.35,57203,0.00,0.27
03,ui-log_水_11-12-2024_10-20-26.txt,task_08,16114.53,0.36,45107,-0.00,0.32
03,ui-log_水_11-12-2024_10-21-35.txt,task_09,16654.48,0.33,50418,-0.00,0.28
03,ui-log_水_11-12-2024_10-22-45.txt,task_10,18702.53,0.38,48770,-0.00,0.24
03,ui-log_水_11-12-2024_10-25-28.txt,task_11,20169.53,0.34,59510,-0.00,0.24
03,ui-log_水_11-12-2024_10-26-30.txt,task_12,17188.69,0.32,53691,-0.00,0.25
03,ui-log_水_11-12-2024_10-27-41.txt,task_13,15749.13,0.36,43543,0.00,0.24
03,ui-log_水_11-12-2024_10-28-43.txt,task_14,15781.51,0.37,42634,-0.00,0.25
03,ui-log_水_11-12-2024_10-29-42.txt,task_15,17139.69,0.36,47620,-0.00,0.22
